store_id,hub_id,store_name,store_segment,store_plan_price,store_latitude,store_longitude,CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2
"809","25",GARPI ,GOOD,29.9,-23.570765,-46.642043,"3550308",São Paulo,SP,1521.110
"810","22",PIULIMGURAU ,FOOD,49,-23.001696,-43.386494,"3304557",Rio de Janeiro,RJ,1200.329
"811","8",CISI DA PRUSI ,GOOD,0.01,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"824","26",RUMOU VUREU ,GOOD,29.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"828","20",MUI SZIP ,GOOD,,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"832","27",RUSURVI FLIRIA,GOOD,29.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"837","33",SMIR PIAMU ,GOOD,29,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"840","26",SIZMUO RICAUMS ,FOOD,49.9,-23.563758,-46.652621,"3550308",São Paulo,SP,1521.110
"845","13",RUA DA RIMU ,FOOD,,-22.887521,-43.283366,"3304557",Rio de Janeiro,RJ,1200.329
"847","13",GIGIRUS ,GOOD,29,-22.887521,-43.283366,"3304557",Rio de Janeiro,RJ,1200.329
"850","22",CIRIRIOU CIRIROI ,FOOD,49,-23.001696,-43.386494,"3304557",Rio de Janeiro,RJ,1200.329
"859","20",CIRIRIOU CIRIROI ,FOOD,49.9,-22.996848,-43.361197,"3304557",Rio de Janeiro,RJ,1200.329
"864","3",RIC IME CZASU ,FOOD,0.01,-30.038145,-51.20352,"4314902",Porto Alegre,RS,495.390
"869","18",PILIOU RAS ,FOOD,49,-22.94733,-43.183534,"3304557",Rio de Janeiro,RJ,1200.329
"870","18",CUSMUI ,FOOD,49,-22.949297,-43.188152,"3304557",Rio de Janeiro,RJ,1200.329
"875","31",RIRURIMUA ,FOOD,49.9,-23.631835,-46.735203,"3550308",São Paulo,SP,1521.110
"876","26",IVIMAR ,GOOD,29.9,-23.569798,-46.659254,"3550308",São Paulo,SP,1521.110
"877","33",IVIMAR ,GOOD,29,-23.579067,-46.594006,"3550308",São Paulo,SP,1521.110
"879","28",RISIRA ,FOOD,49.9,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"882","35",RUGIRIMA ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"883","35",GIMA ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"886","35",RC OUMILEES ,FOOD,,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"894","35",MRIMUIRAI ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"902","8",MRIRI LIP ,GOOD,29,-22.921475,-43.234822,"3304557",Rio de Janeiro,RJ,1200.329
"903","35",PILITAMZI ,FOOD,49,-22.97315,-43.370811,"3304557",Rio de Janeiro,RJ,1200.329
"904","25",CAIRIR PIPO ,GOOD,29,-23.570765,-46.642043,"3550308",São Paulo,SP,1521.110
"911","28",RCOUMILES ,FOOD,0,-23.595775,-46.685984,"3550308",São Paulo,SP,1521.110
"912","3",MURPURI OUS GURAIS ,FOOD,49,-30.035516,-51.204007,"4314902",Porto Alegre,RS,495.390
"913","27",PAMACIS ,GOOD,29.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"915","25",GRIME CRU ,GOOD,29.9,-23.570765,-46.642043,"3550308",São Paulo,SP,1521.110
"918","27",USIFLUS ,GOOD,,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
"921","29",GRIME CRU ,GOOD,29.9,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"923","3",GRIME CRU ,GOOD,29.9,-30.027068,-51.19292,"4314902",Porto Alegre,RS,495.390
"924","29",LIFM ,GOOD,29,-23.561053,-46.558976,"3550308",São Paulo,SP,1521.110
"931","31",GUMOUA E ISIM ,FOOD,49.9,-23.631835,-46.735203,"3550308",São Paulo,SP,1521.110
"933","31",SUPSIO ,FOOD,49.9,-23.631835,-46.735203,"3550308",São Paulo,SP,1521.110
"938","27",OIGIPUARO ,FOOD,49.9,-23.622995,-46.699204,"3550308",São Paulo,SP,1521.110
